0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
222.5607,223.6350,222.4452,219.5756,221.1338,222.9842,224.5951,220.6039,47.9757,-44.0909,29.7995,24.2187,-7.2900,228.4100,229.1800,226.6300,228.3600,27390132
222.0450,224.2650,222.5638,221.1527,219.3705,224.5992,224.9541,221.6184,57.8042,-85.9091,29.0399,25.3324,-3.7800,226.5100,228.8700,226.0000,227.6300,43340134
223.5311,225.3817,224.5786,224.0660,217.7727,226.1233,225.0022,223.1714,36.1652,-93.4152,30.5148,27.5986,-6.7000,223.2500,228.2600,222.4000,225.0300,48793824
224.4235,225.6617,225.8248,224.0182,218.7219,226.4875,226.0374,224.8277,46.9638,-64.0351,32.4804,28.6016,-1.6800,220.1500,223.4900,219.4100,222.9800,27254804
224.9529,225.0950,226.3948,221.8399,217.8484,225.6025,226.1404,226.6523,55.3038,-26.0465,34.0117,29.8750,3.4000,219.0100,220.5400,218.9200,219.7000,22776766
224.1860,223.6067,225.4624,222.5738,218.4897,223.7492,226.2829,227.6416,80.1444,-6.3813,35.7398,32.7696,8.9300,217.1500,218.7400,216.3300,217.9400,20525117
222.5165,221.5733,223.5233,221.5477,220.1668,221.4808,226.0698,227.7616,94.0591,-9.0116,42.8456,35.9427,12.2000,216.6000,216.9000,215.1100,216.1600,18476356
220.4710,219.5500,221.2148,224.3208,223.9948,219.3100,224.2376,227.6497,93.6059,-23.6457,50.0984,40.3066,12.1400,214.6500,217.0500,214.6000,215.4900,18883224
218.6475,217.8867,219.1738,226.4215,224.0089,217.5592,221.5237,226.8517,91.7341,-5.2850,53.9602,43.2203,9.9800,214.1000,216.3600,213.8400,215.0500,19018131
216.9145,216.5633,217.3405,228.2795,220.8702,216.3058,218.7187,225.3575,89.7657,-12.5373,64.1632,49.0875,7.9400,216.8000,217.1900,214.0250,215.0400,26159755
215.8002,215.8567,216.2424,228.0765,221.5242,215.6183,215.3097,223.6195,85.0043,-23.2210,75.1735,55.4566,4.2400,218.1000,219.1800,215.1100,215.4600,30287695
214.9443,215.7967,215.6300,226.2935,219.5677,215.4925,213.2284,222.1675,81.0652,-50.1661,78.0439,60.4448,0.3600,213.4400,217.9500,213.1600,217.5800,35426997
214.4581,215.3233,215.3910,223.7135,222.8359,215.4642,213.1765,220.9764,75.6814,-47.8599,75.4071,62.7528,2.8400,211.7500,213.8121,211.4700,213.3200,28500367
